ID,name,age,sex,breed,color,coat,size,neutered,likes_children
23807,Gida,0.25,female,Unknown Mix,red,short,small,no,NaN
533,Frida Es Ricsi,0.17,female,Unknown Mix,black and white,short,small,no,yes
23793,NaN,4.0,male,Unknown Mix,saddle back,short,medium,no,NaN
23795,NaN,1.0,male,Unknown Mix,yellow-brown,medium,medium,no,NaN
23806,Amy,2.0,female,French Bulldog Mix,black,short,small,no,NaN
23801,Alex,4.25,male,Unknown Mix,yellow-brown,short,small,yes,NaN
534,Ricsi Es Frida,0.17,male,Unknown Mix,brown,short,small,no,yes
23805,NaN,0.17,female,Unknown Mix,gray and white,short,medium,no,NaN
23809,NaN,0.17,female,Unknown Mix,black,medium,medium,no,NaN
1801,Ujhartyani Mazsi,0.17,female,Unknown Mix,brown and white,short,small,no,yes
1222,Vasi,3.67,male,Vizsla Mix,red,short,medium,yes,NaN
23792,NaN,1.0,male,Unknown Mix,saddle back,medium,medium,no,NaN
23797,NaN,5.0,female,Unknown Mix,brown,long,small,no,NaN
1800,Ujhartyani Frenki,0.17,male,Unknown Mix,tricolor,short,small,no,yes
532,Ficko,1.5,male,"Bull Terrier, Dachshund Mix",brown and white,short,medium,yes,yes
23796,NaN,8.0,male,Unknown Mix,black,medium,medium,no,NaN
1802,Ujhartyani Bori,0.17,female,Unknown Mix,tricolor,short,small,no,yes
1799,Dabasi Ixorn,0.83,male,Unknown Mix,black,wirehaired,small,yes,yes
23794,NaN,1.0,male,Unknown Mix,yellow-brown,medium,medium,no,NaN
1393,Gizmo,0.5,male,Unknown Mix,spotty,medium,small,yes,NaN
23788,Saba,7.58,female,Kuvasz,white,medium,large,yes,NaN
4492,Dome,1.0,male,Unknown Mix,black,medium,medium,NaN,NaN
4484,Jocelyn,0.17,female,Unknown Mix,apricot,short,small,NaN,NaN
23787,NaN,0.67,female,Unknown Mix,yellow-brown,wirehaired,medium,no,NaN
4487,Katica,0.58,female,Unknown Mix,black,short,small,NaN,NaN
4491,Bethany,5.0,female,Chinese Shar-Pei Mix,black and brown,short,medium,NaN,NaN
4486,Cotta,0.15,female,Staffordshire Terrier Mix,brown and white,short,medium,NaN,NaN
4488,Kehlani,0.42,female,German Shepherd Dog Mix,black and brown,short,medium,NaN,NaN
23790,NaN,6.0,male,Unknown Mix,saddle back,medium,medium,no,NaN
1798,Kakucsi Szikra,2.42,male,Hungarian Vizsla,brown,short,medium,no,yes
4489,Crosby,1.0,male,"Komondor, Puli Mix",golden,medium,medium,NaN,NaN
