ID,name,age,sex,breed,color,coat,size,neutered,likes_children
0,Gida,0.25,female,Unknown Mix,red,short,small,no,
1,Frida Es Ricsi,0.17,female,Unknown Mix,black and white,short,small,no,yes
2,,4.0,male,Unknown Mix,saddle back,short,medium,no,
3,,1.0,male,Unknown Mix,yellow-brown,medium,medium,no,
4,Amy,2.0,female,French Bulldog Mix,black,short,small,no,
5,Alex,4.25,male,Unknown Mix,yellow-brown,short,small,yes,
6,Ricsi Es Frida,0.17,male,Unknown Mix,brown,short,small,no,yes
7,,0.17,female,Unknown Mix,gray and white,short,medium,no,
8,,0.17,female,Unknown Mix,black,medium,medium,no,
9,Ujhartyani Mazsi,0.17,female,Unknown Mix,brown and white,short,small,no,yes
10,Vasi,3.67,male,Vizsla Mix,red,short,medium,yes,
11,,1.0,male,Unknown Mix,saddle back,medium,medium,no,
12,,5.0,female,Unknown Mix,brown,long,small,no,
13,Ujhartyani Frenki,0.17,male,Unknown Mix,tricolor,short,small,no,yes
14,Ficko,1.5,male,"Bull Terrier, Dachshund Mix",brown and white,short,medium,yes,yes
15,,8.0,male,Unknown Mix,black,medium,medium,no,
16,Ujhartyani Bori,0.17,female,Unknown Mix,tricolor,short,small,no,yes
17,Dabasi Ixorn,0.83,male,Unknown Mix,black,wirehaired,small,yes,yes
18,,1.0,male,Unknown Mix,yellow-brown,medium,medium,no,
19,Gizmo,0.5,male,Unknown Mix,spotty,medium,small,yes,
20,Saba,7.58,female,Kuvasz,white,medium,large,yes,
21,Dome,1.0,male,Unknown Mix,black,medium,medium,,
22,Jocelyn,0.17,female,Unknown Mix,apricot,short,small,,
23,,0.67,female,Unknown Mix,yellow-brown,wirehaired,medium,no,
24,Katica,0.58,female,Unknown Mix,black,short,small,,
25,Bethany,5.0,female,Chinese Shar-Pei Mix,black and brown,short,medium,,
26,Cotta,0.15,female,Staffordshire Terrier Mix,brown and white,short,medium,,
27,Kehlani,0.42,female,German Shepherd Dog Mix,black and brown,short,medium,,
28,,6.0,male,Unknown Mix,saddle back,medium,medium,no,
29,Kakucsi Szikra,2.42,male,Hungarian Vizsla,brown,short,medium,no,yes
30,Crosby,1.0,male,"Komondor, Puli Mix",golden,medium,medium,,
31,,0.58,male,"Bull Terrier, Staffordshire Terrier Mix",striped,short,medium,no,
32,,0.33,male,Unknown Mix,black,short,small,no,
33,Bowen,1.0,male,Unknown Mix,brown,medium,large,,
34,Panna,0.15,female,Staffordshire Terrier Mix,striped,short,medium,,
35,Szolnoki Joker,1.0,male,Fox Terrier Mix,black and white,wirehaired,small,yes,yes
36,Satoraljaujhelyi Dingo,2.0,male,Unknown Mix,yellow,short,medium,no,yes
37,Valentin,0.67,male,Unknown Mix,apricot,short,small,,
38,Szolnoki Chris,1.0,male,Fox Terrier Mix,brown and white,wirehaired,small,yes,yes
39,,4.0,male,Unknown Mix,yellow-brown,medium,medium,no,
40,Pufi,8.0,male,Unknown Mix,wild boar,short,small,no,
41,Velencei Fiffi,9.25,female,Afghan Hound,brown,long,medium,yes,
42,Szalkas Kan Kolyok,0.5,male,Unknown Mix,brown,wirehaired,medium,yes,
43,Szakaldi Baro,1.42,male,Unknown Mix,brown and white,short,medium,no,yes
44,,0.25,male,Unknown Mix,black and tan,wirehaired,small,no,
45,Honapos Keverek Kan,0.5,male,Unknown Mix,tricolor,medium,medium,yes,
46,Kormi,6.5,male,Unknown Mix,black,short,medium,yes,
47,,0.25,female,Unknown Mix,saddle back,medium,medium,no,
48,Velencei Shyne On,8.42,female,American Bulldog,striped,short,medium,yes,
49,Lili,3.5,female,Unknown Mix,brown,short,medium,yes,
50,Beagle Keverek Kutyusok,0.17,male,Beagle Mix,black and brown,short,medium,no,yes
51,Honapos Szuka,0.5,female,Unknown Mix,brown,short,medium,yes,
52,Beagle Keverek Kutyus,0.17,female,Beagle Mix,brown and white,short,medium,no,yes
53,,1.58,male,Unknown Mix,yellow-brown,wirehaired,small,no,
54,Satoraljaujhelyi Gesztenye,1.42,male,"Hungarian Vizsla, Staffordshire Terrier Mix",brown,short,medium,no,yes
55,Kakucsi Henrik,1.42,male,Terrier Mix,yellow-brown,medium,small,no,yes
56,Sajoorsi Foxi Es Maxi,0.17,male,Unknown Mix,black and brown,short,small,no,
57,Elsa,2.33,female,Unknown Mix,brown,short,medium,yes,
58,Velencei Gavaller,9.17,male,Hungarian Greyhound,brown and white,short,large,yes,
59,,1.58,male,Unknown Mix,yellow-brown,wirehaired,small,no,
60,Nagyhalaszi Szello,0.5,female,Greyhound Mix,yellow,short,medium,,
61,Allegra,0.42,female,Unknown Mix,black and brown,short,small,,
62,Dabasi Bors,1.0,male,Staffordshire Terrier Mix,brown,short,medium,no,yes
63,Inarcsi Hektor,0.25,male,"German Shepherd Dog, Staffordshire Terrier Mix",yellow-brown,short,medium,no,yes
64,Vlad,0.17,male,Unknown Mix,yellow-brown,short,small,no,
65,Zsomi,6.0,male,Unknown Mix,yellow-brown,short,medium,no,
66,Pongolina,0.58,female,Unknown Mix,apricot,short,medium,,
67,Pola,2.0,female,"English Greyhound, Spanish Greyhound Mix",yellow,short,medium,yes,
68,Bongo,2.0,male,Greyhound Mix,black and white,short,medium,yes,
69,Lummia,0.33,female,Unknown Mix,black,short,medium,,
70,King,2.92,male,Dachshund Mix,wild boar,short,medium,yes,yes
71,Duster,1.0,male,Greyhound Mix,yellow,short,medium,,
72,Barcsi Detre,0.5,male,Greyhound Mix,striped,short,medium,,
73,,2.0,male,Unknown Mix,black,long,medium,no,
74,Baboca,2.0,female,Greyhound Mix,spotty,short,medium,yes,
75,,4.0,male,Unknown Mix,black,medium,medium,no,
76,Szolnoki Sanyi,1.0,male,Terrier Mix,black and white,short,small,no,yes
77,Ujszaszi Asz,4.0,male,Fox Terrier Mix,black and white,short,small,no,yes
78,Szolnoki Puszedli,1.42,female,Unknown Mix,black and brown,medium,small,no,yes
79,Szalkas Szuka,0.5,female,Unknown Mix,black and tan,wirehaired,small,yes,
80,Chance,1.25,male,Unknown Mix,black,short,medium,,
81,Hope,1.25,male,Unknown Mix,black,short,medium,,
82,Nelly,3.08,female,Unknown Mix,black and white,short,medium,yes,
83,,0.25,female,Unknown Mix,gray and white,short,medium,no,
84,Pici,1.0,male,Unknown Mix,yellow-brown,short,medium,yes,
85,Gyori Tictac,1.58,male,Greyhound Mix,black and white,short,medium,yes,
86,,1.0,male,Staffordshire Terrier Mix,black and white,short,medium,,
87,Tigris,5.0,male,Unknown Mix,striped,short,medium,yes,
88,Gomez,0.5,male,Unknown Mix,white,short,small,,
89,Aliz,5.58,female,Unknown Mix,yellow-brown,short,medium,yes,yes
90,Sebastian,0.17,male,Unknown Mix,apricot,short,small,,
91,Vacok,2.42,male,"Dachshund, Fox Terrier Mix",apricot,short,medium,yes,yes
92,Kakucsi Potyi,0.33,female,"Chinese Shar-Pei, Dachshund Mix",apricot,short,medium,,yes
93,Doc,0.58,male,Unknown Mix,tricolor,short,medium,yes,yes
94,Speedy,1.25,male,Unknown Mix,gray and black,medium,small,yes,yes
95,Charlotte,3.08,female,Unknown Mix,black and white,short,small,,
96,Chili,0.17,female,Staffordshire Terrier,golden,short,medium,yes,yes
97,Martelyi Bence,0.75,male,Bull Terrier Mix,striped,short,medium,,
98,Dabasi Kocos,7.0,female,Fox Terrier Mix,black and white,wirehaired,small,no,no
99,,0.25,male,Unknown Mix,striped,short,medium,,
100,Csopi,9.33,female,German Shepherd Dog Mix,saddle back,medium,large,no,
101,Suzi,13.08,female,German Shepherd Dog Mix,sable,medium,large,yes,
102,,5.0,male,Unknown Mix,black and white,short,large,yes,
103,,1.0,male,Unknown Mix,yellow-brown,short,small,no,
104,Miskolci Kuba,1.25,male,"Beagle, Hound Mix",tricolor,short,medium,no,yes
105,Panna,7.58,female,Unknown Mix,black,wirehaired,medium,yes,
106,Lorinci Balu,10.75,male,Greyhound Mix,spotty,short,medium,yes,
107,,3.0,male,Unknown Mix,yellow-brown,short,small,no,
108,Alfi,8.33,male,Unknown Mix,black,wirehaired,large,yes,
109,Taxi,8.0,female,Unknown Mix,yellow-brown,short,large,no,
110,Bambi,5.5,female,Unknown Mix,striped,short,large,no,
111,Pecsi Kajla,1.0,male,Greyhound Mix,black,short,medium,yes,
112,Benji,9.67,male,Terrier Mix,yellow-brown,wirehaired,medium,,
113,Liza,1.08,female,Unknown Mix,black,short,medium,,yes
114,Sajti,12.67,male,Unknown Mix,white,long,large,,
115,Alsonemedi Sidney,0.42,female,"Dachshund, German Shepherd Dog Mix",black,short,small,no,yes
116,Mazda,4.25,male,Unknown Mix,apricot,short,large,yes,
117,Miskolci Lupidu,1.17,male,Staffordshire Terrier Mix,striped,short,medium,yes,yes
118,Gina Es Genova,0.17,female,Unknown Mix,black,short,medium,,yes
119,,2.0,male,Unknown Mix,yellow-brown,short,small,no,
120,,6.08,male,Staffordshire Terrier Mix,brown and white,short,medium,no,
121,Kormi,6.5,male,Unknown Mix,black,short,medium,yes,
122,*,1.08,female,German Shepherd Dog Mix,saddle back,medium,medium,no,
123,Cezar,7.33,male,Unknown Mix,brown,short,large,,
124,Lili,3.5,female,Cane Corso Mix,brown,short,large,yes,
125,Zeno,0.5,male,Jagd Terrier Mix,black and tan,short,medium,,yes
126,Marley,0.5,female,Unknown Mix,white,short,small,,
127,Ozdi Hello,1.33,male,Unknown Mix,black,short,small,yes,yes
128,Szolnoki Kiralyfi,2.25,male,Whippet Mix,spotty,short,medium,yes,
129,Lujzi,1.42,female,Unknown Mix,black and brown,short,small,,
130,Sun,0.5,male,Unknown Mix,black and brown,short,small,,
131,Elsa,2.33,female,Unknown Mix,brown,short,medium,yes,
132,Jockey,1.58,male,Unknown Mix,brown,short,large,yes,
133,Ozdi Timon,3.25,male,Norfolk Terrier Mix,brown and white,short,small,yes,yes
134,Lili,0.75,female,Unknown Mix,brown,short,small,,
135,Aspen,1.58,female,Unknown Mix,apricot,medium,small,,
136,Liza,2.58,female,Unknown Mix,brown and white,short,medium,yes,
137,Szigetszentmiklosi Fuge,1.17,male,Greyhound Mix,spotty,short,medium,yes,
138,Pongo,0.67,male,Unknown Mix,apricot,short,medium,,
139,Leopold,0.15,male,Unknown Mix,black and brown,medium,medium,,
140,Kincso,2.17,female,Dalmatian Mix,white,short,medium,,
141,Petervasasrai Robin,0.25,male,Unknown Mix,white,short,medium,no,yes
142,Siofoki Szafi,11.08,female,Greyhound Mix,yellow,short,medium,yes,yes
143,Kira,3.17,female,Unknown Mix,striped,short,medium,yes,yes
144,Petervasasrai Ralf,0.25,male,Unknown Mix,brown,short,medium,no,yes
145,Nemesbikki Pandora,4.08,female,Bull Terrier Mix,striped,short,small,no,yes
146,Szegedi Galagonya,0.92,male,Greyhound Mix,white,short,medium,yes,
147,Greta,0.67,female,Unknown Mix,black,short,small,,
148,Csengersimai Zumba,0.5,male,Greyhound Mix,black and white,short,medium,yes,yes
149,Kormi,6.5,male,Unknown Mix,black,short,medium,yes,
150,Bony,1.08,male,Unknown Mix,gray and black,wirehaired,large,no,
151,Igor,3.08,male,Border Collie Mix,black and white,medium,medium,,no
152,Jeremy,5.08,male,Unknown Mix,apricot,short,small,,
153,Pulcsi,11.08,female,Puli Mix,black,long,medium,yes,yes
154,Daniel,0.67,male,Unknown Mix,black and brown,medium,small,,yes
155,Miskolci Abel,9.08,male,Unknown Mix,yellow-brown,long,medium,yes,no
156,Monori Lucia,6.25,female,Unknown Mix,black and white,short,small,yes,yes
157,Kinga,1.17,female,Terrier Mix,black and brown,wirehaired,medium,,yes
158,Ocsai Pici,12.08,male,Unknown Mix,gray and black,wirehaired,medium,no,yes
159,Gufi,0.67,male,Unknown Mix,black,short,small,,
